Date,Open,High,Low,Close,Adj Close,Volume
2018-01-23,9622.000000,9622.000000,9300.000000,9301.000000,9301.000000,35
2018-01-24,9176.000000,9534.000000,9036.200195,9344.400391,9344.400391,99
2018-01-25,9162.000000,9426.000000,9050.000000,9340.000000,9340.000000,143
2018-01-26,9042.000000,9173.599609,8588.000000,8657.599609,8657.599609,67
2018-01-29,8729.599609,8744.000000,8400.000000,8400.000000,8400.000000,82
2018-01-30,8910.000000,8924.000000,8528.000000,8670.000000,8670.000000,77
2018-01-31,8396.000000,8582.599609,8310.000000,8559.799805,8559.799805,98
2018-02-01,8934.000000,8934.000000,8400.000000,8524.000000,8524.000000,69
2018-02-02,8926.000000,9326.000000,8737.400391,9300.200195,9300.200195,143
2018-02-05,9818.000000,10460.000000,9173.599609,10460.000000,10460.000000,307
2018-02-06,10700.000000,11554.000000,9598.000000,9604.000000,9604.000000,223
2018-02-07,9580.000000,9792.000000,9233.200195,9656.000000,9656.000000,64
2018-02-08,9640.000000,10627.000000,8574.000000,10627.000000,10627.000000,242
2018-02-09,9900.000000,11200.000000,9850.000000,10175.799805,10175.799805,161
2018-02-12,9527.400391,10100.000000,9527.400391,9606.000000,9606.000000,48
2018-02-13,9776.000000,9776.000000,9023.000000,9097.799805,9097.799805,66
2018-02-14,8850.000000,8850.000000,8340.000000,8352.000000,8352.000000,93
2018-02-15,8126.000000,8391.799805,7878.000000,7878.000000,7878.000000,95
2018-02-16,7978.000000,8125.799805,7867.000000,8019.600098,8019.600098,91
2018-02-20,8162.000000,8162.000000,7684.000000,8000.000000,8000.000000,89
2018-02-21,7800.000000,7840.000000,7420.200195,7840.000000,7840.000000,97
2018-02-22,8200.000000,8200.000000,7686.000000,7893.600098,7893.600098,40
2018-02-23,7760.000000,7760.000000,7484.600098,7490.200195,7490.200195,111
2018-02-26,7400.000000,7656.000000,7262.000000,7266.000000,7266.000000,34
2018-02-27,7266.799805,7564.000000,7260.000000,7550.000000,7550.000000,109
2018-02-28,7407.000000,7656.000000,7407.000000,7656.000000,7656.000000,42
2018-03-01,7760.000000,8312.000000,7650.000000,8026.000000,8026.000000,96
2018-03-02,8370.000000,8600.000000,7707.000000,7800.000000,7800.000000,69
2018-03-05,7947.799805,7947.799805,7264.000000,7266.000000,7266.000000,34
2018-03-06,7188.000000,7241.000000,7015.200195,7074.000000,7074.000000,130
2018-03-07,7233.200195,7262.000000,6928.399902,6944.000000,6944.000000,71
2018-03-08,6860.000000,7097.799805,6860.000000,7050.000000,7050.000000,50
2018-03-09,7122.000000,7122.000000,6632.000000,6632.000000,6632.000000,80
2018-03-12,6484.000000,6502.000000,6377.600098,6425.600098,6425.600098,31
2018-03-13,6378.000000,6886.200195,6378.000000,6850.000000,6850.000000,209
2018-03-14,6732.000000,6732.000000,6470.000000,6600.000000,6600.000000,186
2018-03-15,6512.399902,6675.200195,6453.600098,6520.200195,6520.200195,26
2018-03-16,6669.799805,6698.000000,6614.000000,6631.000000,6631.000000,13
2018-03-19,6998.000000,7376.000000,6890.000000,7200.000000,7200.000000,245
2018-03-20,7342.000000,7501.000000,7072.200195,7328.000000,7328.000000,50
2018-03-21,7411.000000,7411.000000,7104.000000,7330.000000,7330.000000,27
2018-03-22,7771.799805,8066.000000,7526.200195,8040.000000,8040.000000,149
